Program,University,Subject,Level,Type of Degree,EU Fees,Country,City
Academy of Music and Performing Arts,Fontys University of Applied Sciences - Tilburg,"Music, Performing Arts",Undergraduate,BMus,"EUR 2,143",Netherlands,Tilburg
Advanced Technology,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Advertising,Willem de Kooning Academie,"Marketing, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Aeronautical Engineering,Inholland University of Applied Sciences - Delft,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Delft
Aerospace Engineering,Delft University of Technology,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Delft
American Studies,Radboud University,Social Sciences,Undergraduate,BA,"EUR 2,143",Netherlands,Nijmegen
American Studies,University of Groningen,"Social Sciences, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Animal Husbandry - Applied Animal Sciences,Van Hall Larenstein - Velp,"Animal Science, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Velp
"Animal Husbandry - Equine, Sports and Business",Van Hall Larenstein - Velp,"Animal Science, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Velp
Animal Science,Wageningen University,Animal Science,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Wageningen
Animation,Willem de Kooning Academie,"Design, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Applied Computer Science,Saxion University of Applied Sciences - Enschede,"Computer Science, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Applied Earth Sciences,Delft University of Technology,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Delft
Applied Mathematics,Eindhoven University of Technology,"Mathematics, Natural Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Applied Mathematics,University of Twente,"Mathematics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Applied Mathematics (BSc),University of Groningen,"Mathematics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Applied Physics,University of Groningen,"Mathematics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Applied Physics,University of Groningen,"Physics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Archaeology,Leiden University,"Archaeology, Humanities",Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
Archaeology,University of Amsterdam,Archaeology,Undergraduate,BA,"€2,143",Netherlands,Amsterdam
Architectural Design,Gerrit Rietveld Academy,"Design, Architecture",Undergraduate,BA,"€2,580",Netherlands,Amsterdam
"Architecture, Urbanism and Building Sciences",Eindhoven University of Technology,"Architecture, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Art History,University of Groningen,Art History,Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Artificial Intelligence,Radboud University,"Computer Science, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Artificial Intelligence (BSc),University of Groningen,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Artificial Intelligence (Lifestyle Informatics),VU University Amsterdam,Computer Science,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Arts and Culture,Maastricht University,"Arts, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Maastricht
Arts and Culture Studies,Erasmus University Rotterdam,"Arts, Humanities",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Arts and Culture Studies,Radboud University,"Culture, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Nijmegen
"Arts, Culture and Media",University of Groningen,"Arts, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
"Arts, Media and Society",Leiden University,"Arts, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
ArtScience,Royal Academy of the Arts The Hague,"Arts, Science",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Astronomy (BSc),University of Groningen,"Astronomy, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Audiovisual Design,Willem de Kooning Academie,"Design, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Automotive Engineering,HAN University of Applied Sciences - Arnhem,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Arnhem
Automotive Technology,Eindhoven University of Technology,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Biology,Radboud University,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Biology,University of Groningen,"Biology, Natural Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Biomedical Sciences,Maastricht University,Biomedical,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Biomedical Sciences,VU University Amsterdam,Biomedical,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
