program_name, college_name, college_location, total_tuition_fee, total_credits, subject_areas, application_code, teaching_form,pace_of_study
AI Engineering (master),"Jönköping University,",Jönköping,"300,000 SEK*",120," Computer Technology, Embedded systems, Human-Computer Interaction, Information Systems, Information Technology, Product Development, Project Management", HJ-MU110,"Programme,On-campus", Full-time 
"Ancient and medieval philosophy and classical philology, Master's Programme","University of Gothenburg,",Göteborg,"174,000 SEK*",120, Philosophy and Logic, GU-6A24A,"Programme,On-campus", Full-time 
Applied Data Science Master's Programme,"University of Gothenburg,",Göteborg,"292,000 SEK*",120," Computer Science, Information Technology", GU-1A86A,"Programme,On-campus", Full-time 
Applied Data Science Master's Programme,"University of Gothenburg,",Göteborg,"292,000 SEK*",120," Computer Science, Information Technology", GU-6A86A,"Programme,On-campus", Full-time 
Applied Economics and Data Analysis,"Jönköping University,",Jönköping,"240,000 SEK*",120," Business Administration and Economics, Economics", HJ-MU118,"Programme,On-campus", Full-time 
"Atmosphere, Climate and Ecosystems, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120," Environmental Science, Care and Protection", GU-1A12A,"Programme,On-campus", Full-time 
"Atmosphere, Climate and Ecosystems, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120," Environmental Science, Care and Protection", GU-6A12A,"Programme,On-campus", Full-time 
Bachelor's Programme in Biomedicine,"Karolinska Institutet,",Solna,"540,000 SEK*",180," Biology, Biomedicine, Health and Medical Care, Medical Biology", KI-D7000,"Programme,On-campus", Full-time 
Bachelor's Programme in Information and Communication Technology,"KTH Royal Institute of Technology,",Stockholm,"366,000 SEK*",180," Computer Science, Computer Technology, Electronics, Information Technology, Technology", KTH-32507,"Programme,On-campus", Full-time 
"Biodiversity and Systematics, Nordic Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120, Biology, GU-1A12C,"Programme,On-campus", Full-time 
"Biodiversity and Systematics, Nordic Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120, Biology, GU-6A12C,"Programme,On-campus", Full-time 
"Biology, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120, Biology, GU-1A12B,"Programme,On-campus", Full-time 
"Biology, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120, Biology, GU-6A12B,"Programme,On-campus", Full-time 
"Colonial and Postcolonial Studies, Master Programme","Linnaeus University (Kalmar Växjö),",Växjö,"220,000 SEK*",120," History, Humanities", LNU-F1072,"Programme,On-campus", Full-time 
"Complex Adaptive Systems, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120, Physics, GU-6A11A,"Programme,On-campus", Full-time 
"Computer Science, Master's Programme","University of Gothenburg,",Göteborg,"292,000 SEK*",120, Computer Science, GU-1A86B,"Programme,On-campus", Full-time 
"Computer Science, Master's Programme","University of Gothenburg,",Göteborg,"292,000 SEK*",120, Computer Science, GU-6A86B,"Programme,On-campus", Full-time 
Digital Business (Two Years),"Jönköping University,",Jönköping,"240,000 SEK*",120," Administration and Management, Business Administration, Business Administration and Economics, Entrepreneurship, International Business Management, Leadership, Organisation and Management", HJ-MU101,"Programme,On-campus", Full-time 
"Digital Humanities, Master Programme","Linnaeus University (Kalmar Växjö),",Varied,"272,700 SEK*",120," Humanities, Library and Information Science", LNU-F1073,"Programme,Distance", Full-time 
"Ecotoxicology, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120," Ecotoxicology, Environmental Science, Care and Protection", GU-1A12G,"Programme,On-campus", Full-time 
"Ecotoxicology, Master's Programme","University of Gothenburg,",Göteborg,"242,000 SEK*",120," Ecotoxicology, Environmental Science, Care and Protection", GU-6A12F,"Programme,On-campus", Full-time 
"Education for Sustainable Development, Master's Programme","University of Gothenburg,",Varied,"174,000 SEK*",120, Education/Educational Sciences/Didactics, GU-6A92A,"Programme,Distance", Full-time 
Engineering Management (One Year),"Jönköping University,",Jönköping,"120,000 SEK*",60," Business Administration, Business Administration and Economics, Industrial Economics, Organisation and Management, Leadership, Organisation and Management, Technology", HJ-MU065,"Programme,On-campus", Full-time 
"English Language and Literature, Master Programme","Linnaeus University (Kalmar Växjö),",Växjö,"220,000 SEK*",120," Comparative Literature, English, Languages, Linguistics", LNU-F1075,"Programme,On-campus", Full-time 
Environmental Sciences,"University of Gothenburg,",Göteborg,"242,000 SEK*",120," Environmental Science, Care and Protection", GU-1A12F,"Programme,On-campus", Full-time 
Environmental Sciences,"University of Gothenburg,",Göteborg,"242,000 SEK*",120," Environmental Science, Care and Protection", GU-6A12E,"Programme,On-campus", Full-time 
